"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1102","test_hotel_list","test","Mon Mar 16 17:19:39 UTC 2026","passed","Mon Mar 16 17:19:40 UTC 2026","TestHootel","test_hootel","",""
"A belépés tesztelése","2530","Hootel Login","test","Mon Mar 16 17:19:28 UTC 2026","passed","Mon Mar 16 17:19:30 UTC 2026","TestHootel","test_hootel","",""
